Item_ID,Item_Name,Item_Type,Item_Fat_Content,Item_Weight (kg),Item_MRP (₹),Item_Visibility,Outlet_ID,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales (₹),Delivery_Time (mins),Customer_Rating
ITEM0021,Least,Vegetables,Regular,5.5,109.18,0.062,OUT013,Large,Tier 3,Grocery Store,19842.61,17,4.6
ITEM0022,Industry,Bakery,Regular,1.84,467.41,0.11,OUT010,Medium,Tier 1,Supermarket Type2,4535.03,51,3.7
ITEM0023,Concern,Household,Regular,9.65,166.2,0.069,OUT013,Large,Tier 2,Supermarket Type2,19521.14,44,3.9
ITEM0024,Foreign,Dairy,Low Fat,7.71,338.55,0.24,OUT018,Large,Tier 3,Grocery Store,17142.71,58,4.6
ITEM0025,Magazine,Household,Low Fat,1.4,100.33,0.153,OUT010,Large,Tier 1,Grocery Store,19402.27,25,4.5
ITEM0026,Point,Dairy,Low Fat,2.23,422.49,0.197,OUT027,Medium,Tier 1,Supermarket Type1,9780.56,12,2.9
ITEM0027,Community,Beverages,Regular,0.78,288.99,0.121,OUT018,Large,Tier 2,Supermarket Type1,11000.17,35,3.0
ITEM0028,Major,Fruits,Regular,3.6,354.89,0.101,OUT013,Medium,Tier 2,Supermarket Type2,19885.6,39,3.5
ITEM0029,Executive,Frozen Foods,Regular,5.9,239.31,0.087,OUT018,Large,Tier 3,Supermarket Type1,16286.94,20,4.6
ITEM0030,Interview,Dairy,Low Fat,5.02,403.77,0.193,OUT013,Large,Tier 1,Grocery Store,17374.52,47,3.9
ITEM0031,Response,Beverages,Regular,2.15,315.64,0.098,OUT010,Large,Tier 2,Grocery Store,3894.05,21,3.9
ITEM0032,Service,Bakery,Low Fat,7.83,480.29,0.12,OUT010,Large,Tier 1,Supermarket Type1,7053.58,27,3.8
ITEM0033,Particular,Beverages,Low Fat,9.26,31.39,0.106,OUT027,Small,Tier 2,Supermarket Type2,16757.88,49,3.4
ITEM0034,People,Dairy,Low Fat,7.85,397.32,0.242,OUT049,Medium,Tier 1,Supermarket Type2,14260.79,52,4.9
ITEM0035,Many,Snacks,Regular,2.55,213.57,0.029,OUT013,Medium,Tier 2,Supermarket Type1,9769.57,38,4.1
ITEM0036,Mouth,Frozen Foods,Regular,3.03,403.5,0.031,OUT013,Small,Tier 2,Grocery Store,7391.33,37,4.0
ITEM0037,Floor,Snacks,Regular,8.6,247.58,0.041,OUT027,Small,Tier 1,Supermarket Type2,5503.92,54,4.9
ITEM0038,Medical,Bakery,Regular,1.6,462.13,0.02,OUT018,Medium,Tier 1,Supermarket Type2,10534.81,53,2.9
ITEM0039,Myself,Snacks,Regular,3.93,284.85,0.196,OUT049,Small,Tier 1,Supermarket Type2,4223.37,52,3.6
ITEM0040,Him,Snacks,Regular,6.99,481.48,0.232,OUT049,Medium,Tier 1,Supermarket Type2,2801.06,52,4.7
ITEM0041,Executive,Vegetables,Low Fat,1.87,491.68,0.186,OUT010,Large,Tier 2,Supermarket Type1,3774.23,54,3.6
ITEM0042,Fine,Beverages,Low Fat,5.31,231.95,0.126,OUT027,Small,Tier 3,Supermarket Type1,10823.76,53,3.0
ITEM0043,Conference,Vegetables,Regular,6.47,296.21,0.151,OUT010,Small,Tier 3,Supermarket Type2,9259.82,46,2.5
ITEM0044,Coach,Vegetables,Regular,7.32,257.67,0.183,OUT027,Small,Tier 2,Grocery Store,9469.69,54,4.4
ITEM0045,Second,Vegetables,Low Fat,6.09,300.69,0.091,OUT018,Medium,Tier 1,Supermarket Type1,2703.96,51,2.7
ITEM0046,Recently,Snacks,Regular,2.15,369.47,0.104,OUT013,Medium,Tier 2,Supermarket Type2,8087.23,36,3.0
ITEM0047,Record,Fruits,Regular,7.51,397.28,0.124,OUT013,Small,Tier 3,Grocery Store,8163.17,47,3.4
ITEM0048,Discuss,Snacks,Regular,1.67,210.0,0.093,OUT010,Medium,Tier 2,Supermarket Type1,6521.0,20,3.4
ITEM0049,Serve,Snacks,Low Fat,8.95,345.03,0.193,OUT018,Small,Tier 1,Supermarket Type1,6401.67,41,2.9
ITEM0050,They,Dairy,Regular,6.88,99.95,0.088,OUT049,Large,Tier 1,Grocery Store,16664.77,50,4.9
ITEM0051,Learn,Frozen Foods,Regular,2.35,444.78,0.195,OUT049,Large,Tier 2,Supermarket Type1,7574.79,10,3.4
ITEM0052,Heavy,Beverages,Regular,1.65,226.5,0.033,OUT018,Small,Tier 1,Supermarket Type2,4665.72,12,2.9
ITEM0053,Page,Snacks,Regular,0.77,250.46,0.129,OUT027,Large,Tier 2,Grocery Store,19796.3,50,4.3
ITEM0054,Stand,Household,Regular,1.65,90.39,0.026,OUT018,Medium,Tier 3,Grocery Store,18714.15,46,3.3
ITEM0055,Social,Bakery,Low Fat,1.16,240.77,0.058,OUT049,Medium,Tier 3,Grocery Store,6190.54,50,3.7
ITEM0056,Drive,Bakery,Low Fat,7.07,123.3,0.217,OUT018,Small,Tier 1,Supermarket Type1,17881.3,54,4.2
ITEM0057,Travel,Frozen Foods,Low Fat,9.86,319.03,0.139,OUT013,Small,Tier 1,Supermarket Type2,7946.45,38,2.8
ITEM0058,Civil,Fruits,Regular,4.59,117.58,0.109,OUT049,Large,Tier 2,Grocery Store,15569.81,18,3.3
ITEM0059,Loss,Dairy,Low Fat,8.17,289.15,0.134,OUT027,Medium,Tier 1,Grocery Store,10203.42,51,2.7
ITEM0060,History,Dairy,Regular,8.51,126.48,0.197,OUT027,Medium,Tier 3,Supermarket Type2,19836.73,17,4.2
ITEM0061,Heavy,Fruits,Regular,8.35,195.89,0.187,OUT018,Medium,Tier 1,Supermarket Type2,12545.39,46,3.2
ITEM0062,Learn,Household,Regular,9.4,442.52,0.047,OUT018,Small,Tier 2,Grocery Store,3250.55,35,2.9
ITEM0063,Area,Beverages,Low Fat,6.87,262.3,0.098,OUT013,Medium,Tier 3,Grocery Store,14674.97,14,2.6
ITEM0064,Center,Vegetables,Regular,8.97,87.26,0.125,OUT049,Medium,Tier 3,Grocery Store,12752.73,18,3.5
ITEM0065,Piece,Snacks,Regular,5.14,377.23,0.187,OUT027,Large,Tier 3,Supermarket Type2,4548.01,13,4.5
ITEM0066,Show,Household,Regular,8.67,440.44,0.156,OUT049,Small,Tier 1,Supermarket Type2,492.23,36,2.9
ITEM0067,Say,Fruits,Regular,6.85,20.47,0.087,OUT049,Large,Tier 1,Supermarket Type2,6239.51,42,4.6
ITEM0068,Book,Bakery,Low Fat,8.65,233.88,0.102,OUT018,Medium,Tier 2,Supermarket Type1,566.57,42,4.6
ITEM0069,Financial,Frozen Foods,Regular,3.86,355.56,0.012,OUT010,Medium,Tier 2,Supermarket Type2,1228.96,35,4.1
ITEM0070,Order,Household,Low Fat,6.01,413.06,0.155,OUT018,Small,Tier 2,Supermarket Type1,1749.48,26,3.2
ITEM0071,Position,Dairy,Regular,9.05,428.17,0.23,OUT013,Large,Tier 2,Supermarket Type1,10802.69,29,4.9
ITEM0072,Nature,Vegetables,Regular,6.25,144.46,0.242,OUT010,Medium,Tier 1,Supermarket Type1,16947.33,54,2.9
ITEM0073,Later,Vegetables,Low Fat,6.96,386.36,0.234,OUT027,Small,Tier 1,Grocery Store,17064.81,28,3.7
ITEM0074,Audience,Snacks,Low Fat,9.4,64.71,0.153,OUT049,Large,Tier 2,Grocery Store,4704.45,48,3.0
ITEM0075,Teach,Fruits,Low Fat,7.35,74.3,0.172,OUT018,Medium,Tier 1,Grocery Store,19654.81,28,4.5
ITEM0076,Official,Vegetables,Low Fat,1.2,62.67,0.121,OUT013,Large,Tier 1,Supermarket Type2,496.15,45,4.4
ITEM0077,Business,Vegetables,Regular,3.98,255.64,0.206,OUT049,Small,Tier 2,Supermarket Type1,19941.41,46,3.0
ITEM0078,Threat,Beverages,Low Fat,6.27,214.66,0.154,OUT010,Small,Tier 2,Grocery Store,11791.15,54,3.1
ITEM0079,East,Dairy,Low Fat,7.38,128.57,0.101,OUT010,Large,Tier 3,Supermarket Type2,7065.55,28,2.9
ITEM0080,Really,Dairy,Low Fat,7.72,394.73,0.029,OUT027,Medium,Tier 3,Supermarket Type1,11087.69,33,4.7
ITEM0081,Loss,Frozen Foods,Low Fat,5.77,129.81,0.23,OUT027,Large,Tier 2,Grocery Store,7798.74,36,4.1
ITEM0082,Rock,Household,Low Fat,6.73,276.36,0.016,OUT027,Small,Tier 1,Grocery Store,7720.21,28,3.7
ITEM0083,Information,Dairy,Low Fat,0.77,151.01,0.063,OUT013,Medium,Tier 1,Supermarket Type2,10952.77,14,4.8
ITEM0084,Guy,Beverages,Low Fat,6.72,110.3,0.241,OUT027,Large,Tier 3,Supermarket Type2,9057.04,55,2.9
ITEM0085,End,Snacks,Low Fat,2.48,202.9,0.156,OUT027,Small,Tier 2,Supermarket Type2,3910.38,27,4.7
ITEM0086,Great,Beverages,Regular,2.87,407.28,0.081,OUT013,Small,Tier 1,Supermarket Type1,3116.13,51,2.8
ITEM0087,Sound,Frozen Foods,Low Fat,2.61,146.3,0.135,OUT013,Medium,Tier 1,Supermarket Type2,13606.96,32,3.8
ITEM0088,Fund,Vegetables,Regular,9.26,489.42,0.113,OUT027,Large,Tier 1,Supermarket Type2,1866.36,30,3.2
ITEM0089,According,Beverages,Regular,4.17,412.03,0.084,OUT013,Large,Tier 1,Grocery Store,19860.47,38,4.3
ITEM0090,Building,Bakery,Regular,8.01,128.04,0.132,OUT049,Large,Tier 1,Supermarket Type2,11577.99,47,4.9
ITEM0091,Item,Snacks,Low Fat,8.87,110.54,0.196,OUT018,Medium,Tier 3,Grocery Store,6731.22,19,3.3
ITEM0092,Modern,Frozen Foods,Low Fat,3.14,34.15,0.179,OUT010,Small,Tier 1,Supermarket Type2,5687.24,18,3.8
ITEM0093,Deep,Beverages,Regular,3.68,309.95,0.19,OUT018,Small,Tier 3,Supermarket Type2,14818.93,40,3.8
ITEM0094,Next,Frozen Foods,Low Fat,7.14,290.5,0.111,OUT049,Small,Tier 2,Grocery Store,17326.17,59,4.5
ITEM0095,Message,Fruits,Low Fat,8.67,259.25,0.056,OUT049,Large,Tier 3,Supermarket Type2,11451.84,47,2.7
ITEM0096,Until,Frozen Foods,Low Fat,7.62,33.15,0.067,OUT010,Large,Tier 2,Supermarket Type1,6156.93,54,3.7
ITEM0097,Around,Vegetables,Low Fat,2.41,494.88,0.076,OUT049,Small,Tier 2,Grocery Store,7270.96,49,3.6
ITEM0098,Them,Fruits,Regular,7.24,403.88,0.077,OUT010,Small,Tier 2,Supermarket Type1,345.83,58,4.3
ITEM0099,Create,Dairy,Low Fat,3.93,86.92,0.118,OUT049,Small,Tier 2,Grocery Store,17569.57,58,3.4
ITEM0100,Subject,Fruits,Low Fat,3.82,285.3,0.238,OUT013,Small,Tier 3,Supermarket Type2,9284.3,16,2.6
ITEM0101,Ability,Fruits,Regular,7.03,349.19,0.139,OUT049,Large,Tier 1,Grocery Store,12258.29,32,2.5
ITEM0102,Letter,Bakery,Low Fat,6.86,375.55,0.232,OUT027,Large,Tier 2,Supermarket Type2,8809.71,13,3.0
ITEM0103,Say,Snacks,Regular,8.76,206.88,0.178,OUT010,Large,Tier 1,Supermarket Type2,845.43,55,3.8
ITEM0104,Worry,Frozen Foods,Regular,6.82,315.72,0.017,OUT013,Large,Tier 1,Grocery Store,12915.51,53,2.6
ITEM0105,Check,Household,Low Fat,7.73,75.98,0.039,OUT018,Small,Tier 3,Supermarket Type1,1342.43,59,4.4
ITEM0106,Between,Vegetables,Regular,7.91,423.3,0.12,OUT027,Large,Tier 3,Supermarket Type1,18441.29,43,4.5
ITEM0107,Protect,Frozen Foods,Regular,7.13,356.64,0.118,OUT013,Large,Tier 2,Supermarket Type2,14083.53,45,4.5
ITEM0108,Message,Beverages,Low Fat,7.45,273.41,0.093,OUT013,Medium,Tier 2,Supermarket Type1,10748.96,39,2.6
ITEM0109,Radio,Beverages,Regular,8.77,469.0,0.119,OUT027,Small,Tier 3,Supermarket Type1,17172.45,19,3.7
ITEM0110,Return,Beverages,Low Fat,9.75,316.16,0.226,OUT049,Medium,Tier 2,Supermarket Type2,10727.68,20,2.8
ITEM0111,Morning,Beverages,Regular,4.4,145.29,0.016,OUT027,Medium,Tier 2,Supermarket Type2,12299.79,21,4.3
ITEM0112,Say,Snacks,Low Fat,2.28,472.27,0.027,OUT010,Small,Tier 1,Supermarket Type2,17895.83,36,4.0
ITEM0113,Play,Vegetables,Regular,9.92,256.64,0.179,OUT010,Small,Tier 3,Grocery Store,10800.13,14,4.5
ITEM0114,Director,Vegetables,Regular,6.32,276.37,0.03,OUT018,Medium,Tier 3,Grocery Store,10828.23,40,4.2
ITEM0115,Bank,Household,Low Fat,9.88,163.77,0.071,OUT049,Small,Tier 2,Supermarket Type1,13776.26,16,4.8
ITEM0116,Between,Vegetables,Regular,1.15,346.54,0.144,OUT013,Medium,Tier 1,Supermarket Type1,4672.45,29,4.9
ITEM0117,Those,Dairy,Low Fat,5.06,132.15,0.045,OUT027,Large,Tier 3,Supermarket Type2,14656.85,20,2.6
ITEM0118,Both,Household,Low Fat,4.63,271.1,0.136,OUT010,Large,Tier 2,Supermarket Type1,13913.21,38,3.2
ITEM0119,Young,Bakery,Low Fat,2.14,425.77,0.189,OUT027,Large,Tier 3,Grocery Store,17692.71,32,3.7
ITEM0120,Inside,Dairy,Low Fat,9.05,363.58,0.177,OUT049,Medium,Tier 2,Supermarket Type1,19379.55,39,3.7
ITEM0121,Here,Fruits,Regular,1.14,82.8,0.144,OUT027,Small,Tier 2,Supermarket Type2,10090.64,21,3.5
ITEM0122,Fast,Bakery,Regular,8.02,69.37,0.23,OUT027,Medium,Tier 2,Supermarket Type2,13965.86,12,4.9
ITEM0123,Here,Vegetables,Regular,3.07,24.18,0.248,OUT013,Medium,Tier 2,Supermarket Type2,5013.9,12,3.8
ITEM0124,Value,Bakery,Low Fat,1.98,104.13,0.07,OUT049,Small,Tier 3,Supermarket Type2,966.94,51,4.9
ITEM0125,Writer,Frozen Foods,Low Fat,5.18,475.26,0.23,OUT027,Small,Tier 1,Grocery Store,12502.83,42,2.7
ITEM0126,Do,Vegetables,Regular,5.29,215.26,0.131,OUT049,Small,Tier 3,Supermarket Type1,3669.55,46,5.0
ITEM0127,Argue,Dairy,Regular,0.57,463.11,0.084,OUT027,Large,Tier 1,Supermarket Type1,9864.76,41,2.8
ITEM0128,Simply,Household,Regular,6.74,467.32,0.052,OUT018,Large,Tier 1,Supermarket Type1,5411.65,18,3.3
ITEM0129,Owner,Snacks,Regular,5.1,245.7,0.242,OUT018,Large,Tier 2,Supermarket Type2,11817.63,49,4.1
ITEM0130,Country,Dairy,Low Fat,4.14,114.64,0.155,OUT027,Medium,Tier 2,Supermarket Type2,18654.8,52,3.7
ITEM0131,Old,Dairy,Low Fat,4.36,433.9,0.032,OUT013,Medium,Tier 1,Supermarket Type1,17080.4,44,4.9
ITEM0132,Station,Household,Low Fat,8.1,371.19,0.194,OUT010,Medium,Tier 1,Supermarket Type1,18750.43,29,4.7
ITEM0133,Color,Fruits,Regular,5.58,223.62,0.223,OUT013,Small,Tier 2,Supermarket Type2,9545.78,21,3.4
ITEM0134,Social,Fruits,Regular,6.33,463.65,0.236,OUT018,Medium,Tier 3,Supermarket Type1,617.47,23,5.0
ITEM0135,Change,Vegetables,Low Fat,9.87,400.47,0.014,OUT013,Small,Tier 2,Supermarket Type2,8593.36,21,4.2
ITEM0136,Challenge,Household,Low Fat,6.12,39.99,0.137,OUT027,Large,Tier 1,Supermarket Type2,17409.37,52,3.1
ITEM0137,Current,Frozen Foods,Low Fat,1.02,184.16,0.119,OUT027,Small,Tier 1,Supermarket Type1,16092.41,30,2.9
ITEM0138,Young,Beverages,Low Fat,3.34,366.17,0.08,OUT027,Large,Tier 1,Grocery Store,15601.43,31,5.0
ITEM0139,Pattern,Dairy,Regular,9.08,311.34,0.099,OUT018,Small,Tier 1,Supermarket Type1,7175.81,17,4.6
ITEM0140,Environmental,Bakery,Regular,5.65,402.27,0.154,OUT010,Small,Tier 1,Grocery Store,3954.31,40,3.1
ITEM0141,According,Frozen Foods,Low Fat,6.79,368.09,0.25,OUT049,Large,Tier 3,Supermarket Type2,12359.3,42,3.6
ITEM0142,Half,Vegetables,Regular,2.26,349.95,0.235,OUT013,Large,Tier 1,Supermarket Type2,15650.96,50,4.5
ITEM0143,Public,Fruits,Low Fat,1.57,398.51,0.17,OUT049,Large,Tier 1,Grocery Store,13290.16,11,4.3
ITEM0144,House,Beverages,Regular,7.96,47.75,0.07,OUT010,Large,Tier 3,Supermarket Type1,5151.05,42,2.9
ITEM0145,Energy,Vegetables,Regular,4.09,338.29,0.227,OUT010,Large,Tier 2,Grocery Store,16545.52,10,3.1
ITEM0146,Fear,Vegetables,Low Fat,6.34,70.5,0.199,OUT010,Large,Tier 1,Grocery Store,17622.82,38,3.4
ITEM0147,Pay,Snacks,Low Fat,4.8,118.55,0.213,OUT018,Small,Tier 2,Supermarket Type1,1228.64,28,4.0
ITEM0148,Worry,Bakery,Low Fat,6.64,368.23,0.042,OUT013,Large,Tier 1,Grocery Store,7241.58,45,4.8
ITEM0149,Particularly,Dairy,Regular,9.32,133.85,0.126,OUT049,Small,Tier 1,Supermarket Type2,16462.18,14,3.9
ITEM0150,Likely,Dairy,Regular,6.69,402.92,0.249,OUT018,Large,Tier 2,Grocery Store,16193.0,40,2.5
ITEM0151,Eight,Household,Low Fat,7.76,307.09,0.241,OUT049,Small,Tier 3,Grocery Store,1462.33,18,4.5
ITEM0152,Realize,Household,Regular,1.61,356.48,0.042,OUT013,Large,Tier 1,Grocery Store,9203.89,47,2.7
ITEM0153,Strong,Snacks,Regular,7.97,132.63,0.198,OUT010,Medium,Tier 3,Grocery Store,13888.53,59,3.8
ITEM0154,Many,Snacks,Low Fat,6.05,497.55,0.211,OUT013,Large,Tier 2,Supermarket Type2,14606.66,19,3.0
ITEM0155,Ground,Vegetables,Low Fat,9.13,44.04,0.24,OUT010,Medium,Tier 2,Grocery Store,1790.01,56,3.4
ITEM0156,Type,Frozen Foods,Low Fat,3.78,322.57,0.028,OUT010,Small,Tier 1,Grocery Store,19059.24,13,4.1
ITEM0157,Indeed,Dairy,Regular,2.1,452.17,0.085,OUT027,Large,Tier 1,Supermarket Type2,344.76,57,3.7
ITEM0158,Talk,Snacks,Low Fat,1.8,272.51,0.119,OUT013,Small,Tier 1,Supermarket Type1,11254.35,24,4.3
ITEM0159,Perform,Bakery,Regular,3.71,421.83,0.038,OUT049,Large,Tier 3,Supermarket Type2,4043.67,33,2.8
ITEM0160,Several,Snacks,Regular,2.66,476.0,0.036,OUT049,Large,Tier 1,Supermarket Type2,16387.01,15,2.7
ITEM0161,Idea,Dairy,Low Fat,7.99,90.93,0.058,OUT027,Medium,Tier 2,Grocery Store,17681.86,24,3.4
ITEM0162,Stage,Beverages,Regular,2.77,181.48,0.197,OUT027,Medium,Tier 1,Supermarket Type2,19226.04,38,3.0
ITEM0163,Stuff,Household,Regular,1.33,404.9,0.191,OUT049,Medium,Tier 2,Supermarket Type1,13837.05,43,3.1
ITEM0164,Range,Fruits,Low Fat,1.44,387.12,0.137,OUT049,Medium,Tier 3,Supermarket Type1,987.83,45,4.1
ITEM0165,East,Bakery,Regular,4.85,477.12,0.221,OUT010,Medium,Tier 2,Supermarket Type2,10330.16,54,3.2
ITEM0166,Performance,Bakery,Low Fat,8.23,96.22,0.084,OUT010,Medium,Tier 1,Supermarket Type2,8140.21,41,3.8
ITEM0167,Family,Fruits,Low Fat,3.09,207.06,0.082,OUT010,Small,Tier 3,Grocery Store,19887.66,56,3.5
ITEM0168,Collection,Bakery,Low Fat,1.57,294.55,0.175,OUT018,Small,Tier 2,Grocery Store,1204.58,13,4.1
ITEM0169,Sister,Bakery,Low Fat,5.81,403.72,0.21,OUT027,Medium,Tier 1,Supermarket Type2,11589.4,49,3.8
ITEM0170,Agreement,Bakery,Low Fat,8.35,309.73,0.175,OUT018,Small,Tier 1,Supermarket Type2,8666.19,14,4.9
ITEM0171,Where,Fruits,Low Fat,7.21,269.12,0.025,OUT018,Small,Tier 3,Supermarket Type1,12408.44,36,3.5
ITEM0172,From,Vegetables,Low Fat,8.06,131.9,0.023,OUT027,Medium,Tier 1,Supermarket Type1,2307.4,51,3.8
ITEM0173,National,Snacks,Regular,8.37,29.43,0.145,OUT049,Large,Tier 3,Supermarket Type1,114.45,21,4.6
ITEM0174,Particular,Beverages,Regular,0.83,108.23,0.189,OUT027,Small,Tier 1,Supermarket Type2,15539.7,22,4.4
ITEM0175,Take,Dairy,Regular,8.07,484.12,0.174,OUT027,Large,Tier 1,Supermarket Type2,14135.78,16,4.8
ITEM0176,Prepare,Snacks,Low Fat,6.63,377.36,0.052,OUT010,Medium,Tier 2,Supermarket Type2,6758.04,16,4.1
ITEM0177,Dark,Household,Regular,4.45,31.3,0.138,OUT018,Large,Tier 2,Supermarket Type1,4926.98,17,3.8
ITEM0178,Speech,Household,Low Fat,1.61,218.65,0.128,OUT013,Medium,Tier 1,Supermarket Type2,17146.48,17,2.5
ITEM0179,Again,Frozen Foods,Regular,4.89,32.37,0.227,OUT027,Medium,Tier 2,Supermarket Type1,7171.21,34,3.1
ITEM0180,Official,Bakery,Regular,2.05,82.93,0.154,OUT027,Large,Tier 1,Supermarket Type2,18917.28,22,2.9
ITEM0181,Source,Fruits,Low Fat,1.1,120.2,0.221,OUT018,Medium,Tier 2,Supermarket Type1,5520.89,24,4.7
ITEM0182,Woman,Fruits,Regular,5.22,251.28,0.047,OUT018,Small,Tier 1,Grocery Store,15637.45,56,2.6
ITEM0183,Protect,Dairy,Low Fat,1.69,347.02,0.02,OUT049,Medium,Tier 2,Grocery Store,3100.45,26,4.2
ITEM0184,Often,Fruits,Regular,2.26,436.4,0.109,OUT018,Large,Tier 1,Supermarket Type1,13764.84,43,3.1
ITEM0185,Training,Snacks,Regular,5.7,49.32,0.071,OUT010,Large,Tier 3,Supermarket Type1,11905.63,33,3.5
ITEM0186,Store,Beverages,Low Fat,8.91,49.89,0.048,OUT049,Large,Tier 1,Supermarket Type2,11633.39,47,4.9
ITEM0187,Contain,Dairy,Low Fat,4.83,476.66,0.131,OUT018,Large,Tier 2,Supermarket Type2,1029.11,47,2.5
ITEM0188,Fall,Household,Regular,4.39,363.37,0.195,OUT018,Large,Tier 2,Supermarket Type1,13728.08,35,3.0
ITEM0189,Improve,Snacks,Regular,4.5,338.77,0.22,OUT010,Large,Tier 3,Grocery Store,6001.49,55,3.3
ITEM0190,He,Frozen Foods,Low Fat,3.96,257.01,0.039,OUT013,Small,Tier 3,Grocery Store,10834.44,33,4.7
ITEM0191,Computer,Household,Low Fat,8.8,416.93,0.243,OUT018,Medium,Tier 2,Supermarket Type1,7792.67,28,3.7
ITEM0192,Approach,Dairy,Regular,1.07,203.65,0.037,OUT018,Small,Tier 1,Supermarket Type1,1786.76,59,4.2
ITEM0193,Level,Bakery,Regular,6.62,455.76,0.018,OUT049,Medium,Tier 3,Supermarket Type1,2235.41,44,3.1
ITEM0194,Unit,Snacks,Regular,9.65,238.48,0.044,OUT013,Large,Tier 1,Grocery Store,9064.34,41,2.9
ITEM0195,Tell,Dairy,Regular,6.98,43.38,0.233,OUT018,Medium,Tier 1,Supermarket Type2,827.38,16,2.7
ITEM0196,Special,Snacks,Regular,7.98,24.01,0.14,OUT027,Small,Tier 1,Supermarket Type1,15786.11,54,4.5
ITEM0197,At,Dairy,Low Fat,8.38,353.3,0.157,OUT049,Medium,Tier 1,Supermarket Type1,12384.24,52,3.0
ITEM0198,In,Dairy,Regular,5.59,466.12,0.156,OUT010,Medium,Tier 1,Supermarket Type1,4039.32,44,3.6
ITEM0199,Money,Beverages,Regular,1.76,485.48,0.243,OUT018,Large,Tier 2,Supermarket Type2,15886.14,46,2.8
ITEM0200,Party,Snacks,Low Fat,1.85,167.36,0.187,OUT027,Medium,Tier 3,Grocery Store,19975.51,32,5.0
ITEM0201,Free,Bakery,Regular,6.63,209.53,0.223,OUT049,Small,Tier 3,Supermarket Type1,19214.86,50,4.8
ITEM0202,College,Beverages,Low Fat,6.49,159.96,0.192,OUT010,Medium,Tier 3,Supermarket Type2,8091.18,33,3.5
ITEM0203,Near,Frozen Foods,Regular,9.9,415.62,0.016,OUT010,Medium,Tier 2,Supermarket Type1,3143.79,43,4.3
ITEM0204,Capital,Snacks,Low Fat,8.65,436.08,0.203,OUT049,Large,Tier 1,Supermarket Type1,5775.05,43,3.3
ITEM0205,Cup,Bakery,Low Fat,8.99,211.05,0.019,OUT010,Small,Tier 2,Supermarket Type2,12173.87,24,2.7
ITEM0206,Section,Bakery,Low Fat,0.69,61.92,0.043,OUT018,Large,Tier 2,Supermarket Type1,19062.16,28,5.0
ITEM0207,Move,Snacks,Low Fat,0.71,328.6,0.02,OUT027,Medium,Tier 1,Supermarket Type2,9715.24,10,3.2
